Epochs,avtn1,avtn2,avtn1+,avtn2+,ssd_vgg16,ssd_vgg16_coco,ssd_resnet50_coco_frozen,ssd_resnet50_coco_unfrozen,ssd_resnet50
4,0.098,0.136,0.144,0.164,0.062,0.091,0.065,0.083,0.076
9,0.113,0.15,0.164,0.181,0.1,0.128,0.098,0.125,0.119
14,0.118,0.154,0.176,0.191,0.127,0.148,0.119,0.149,0.144
19,0.122,0.16,0.185,0.196,0.141,0.158,0.133,0.162,0.166
24,0.125,0.163,0.187,0.2,0.151,0.169,0.14,0.172,0.174
29,0.127,0.164,0.193,0.202,0.163,0.176,0.149,0.183,0.178
34,0.129,0.163,0.199,0.206,0.171,0.176,0.156,0.188,0.182
39,0.129,0.168,0.201,0.207,0.174,0.184,0.158,0.197,0.194
44,0.131,0.171,0.214,0.224,0.202,0.208,0.173,0.228,0.226
49,0.132,0.173,0.217,0.227,0.206,0.212,0.174,0.233,0.23
54,0.132,0.174,0.219,0.228,0.208,0.215,0.176,0.238,0.234
59,0.131,0.174,0.219,0.229,0.209,0.216,0.176,0.239,0.235
64,0.132,0.174,0.22,0.229,0.21,0.216,0.176,0.239,0.235